Table Name,File Path,Data Element,Data Type,Bizterm Group,Layer,Business Term,Description,Biz Logic,Origin (Source Data),Sensitivity (PII/non PII),Impact,Time Aggregation,Possible Values
l1_cb_multidim_weekly,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet,fea_custprof_price_plan,string,customer_profile,aggregation,,Price plan of trhe MSISDN,,cb.cb_multidim - price_plan,No,Low,Weekly,Any string
l1_cb_multidim_weekly,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet,fea_custprof_cust_type_desc,string,customer_profile,aggregation,,Customer type,,cb.cb_multidim - cust_type_desc,No,Low,Weekly,Any string
l1_cb_multidim_weekly,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet,fea_custprof_cust_subtype_desc,string,customer_profile,aggregation,,Customer subtype,,cb.cb_multidim - cust_subtype_desc,No,Low,Weekly,Any string
l1_cb_multidim_weekly,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet,fea_custprof_segment_hvc_mtd,tinyint,customer_profile,aggregation,,Is the MSISDN a high value customer,,cb.cb_multidim - segment_hvc_mtd,No,Low,Weekly,Any number
l1_cb_multidim_weekly,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet,fea_custprof_segment_hvc_m1,tinyint,customer_profile,aggregation,,Is the MSISDN a high value customer,,cb.cb_multidim - segment_hvc_m1,No,Low,Weekly,Any number
l1_cb_multidim_weekly,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet,fea_custprof_loyalty_tier,string,customer_profile,aggregation,,Loyalty tier of the customer,,cb.cb_multidim - loyalty_tier,No,Low,Weekly,Any string
l1_cb_multidim_weekly,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet,fea_custprof_nik_gender,string,customer_profile,aggregation,,Gender of customer as per NIK,,cb.cb_multidim - nik_gender,No,Low,Weekly,Any string
l1_cb_multidim_weekly,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet,fea_custprof_nik_age,tinyint,customer_profile,aggregation,,Age of customer as per NIK,,cb.cb_multidim - nik_age,No,Low,Weekly,Any number
l1_cb_multidim_weekly,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet,fea_custprof_bill_cycle,string,customer_profile,aggregation,,What is the bill cycle of the customer,,cb.cb_multidim - bill_cycle,No,Low,Weekly,Any string
l1_cb_multidim_weekly,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet,fea_custprof_persona_los,int,customer_profile,aggregation,,LOS of the persona ID that the customer is part of,,cb.cb_multidim - persona_los,No,Low,Weekly,Any number
